year,ku,kun,status,name,party,party_code,previous,wl,voteshare,age,nocand,rank,vote,eligible,turnout,exp
1996,aichi,4,0,"MISAWA, JUN",NFP,8,1,1,35.7,44,6,1,57361,315704,52,12134215
1996,aichi,4,2,"TSUKAMOTO, SABURO",LDP,1,10,0,30,69,6,2,48209,315704,52,13303388
1996,aichi,4,0,"SEKO, YUKIKO",JCP,2,1,2,19.3,49,6,3,30976,315704,52,3152034
1996,aichi,4,0,"TAKAGI, HIROSHI",DPJ,3,0,0,14.6,43,6,4,23411,315704,52,6461034
1996,aichi,4,0,"ITO, TAKAYOSHI",kokuminto,22,0,0,0.2,61,6,5,348,315704,52,.
1996,aichi,4,0,"SHIOKAWA, CHIKANAO",others,100,0,0,0.2,40,6,6,243,315704,52,.
1996,aichi,5,1,"AKAMATSU, HIROTAKA",DPJ,3,2,1,30.9,48,7,1,48648,319846,50.3,11894801
1996,aichi,5,0,"KIMURA, TAKAHIDE",LDP,1,1,2,29.5,41,7,2,46485,319846,50.3,5010946
1996,aichi,5,0,"BANNO, YUTAKA",NFP,8,0,0,27.3,35,7,3,43028,319846,50.3,9817826
1996,aichi,5,0,"NAGATOMO, TADAHIRO",JCP,2,0,0,11.2,37,7,4,17670,319846,50.3,2728093
1996,aichi,5,0,"SUZUKI, TSUTOMU",independent,99,0,0,0.5,63,7,5,768,319846,50.3,70000
1996,aichi,5,0,"ICHIKAWA, MINORU",kokuminto,22,0,0,0.3,56,7,6,470,319846,50.3,.
1996,aichi,5,0,"UCHIYAMA, TAKAO",others,100,0,0,0.2,43,7,7,335,319846,50.3,.
1996,aichi,6,1,"KUSAKAWA, SHOZO",NFP,8,8,1,39.7,68,8,1,90812,433930,54.2,11252336
1996,aichi,6,0,"ITO, KATSUNDO",LDP,1,0,0,26.1,51,8,2,59631,433930,54.2,10987232
1996,aichi,6,1,"AMIOKA, YU",DPJ,3,3,0,21.5,68,8,3,49074,433930,54.2,15156114
1996,aichi,6,0,"WATANABE, MASUMI",JCP,2,0,0,11.3,39,8,4,25815,433930,54.2,2227575
1996,aichi,6,0,"HARADA, ISAMU",kokuminto,22,0,0,0.5,46,8,5,1107,433930,54.2,.
1996,aichi,6,0,"MUMATSU, YOKO",others,100,0,0,0.4,52,8,6,966,433930,54.2,.
1996,aichi,6,0,"KASAHARA, KIMIO",independent,99,0,0,0.3,63,8,7,776,433930,54.2,.
1996,aichi,6,0,"MASUDA, SHINICHI",others,100,0,0,0.2,73,8,8,450,433930,54.2,5540
1996,aichi,7,1,"AOYAMA, TAKASHI",NFP,8,6,1,47.5,55,7,1,91439,357984,55.5,13493050
1996,aichi,7,0,"NIWA, TAICHI",LDP,1,0,0,25.9,49,7,2,49727,357984,55.5,14030115
1996,aichi,7,0,"ITO, KEIKOB",DPJ,3,0,0,12.8,40,7,3,24620,357984,55.5,5904264
1996,aichi,7,0,"HARADA, HIDETOSHI",JCP,2,0,0,12,48,7,4,23009,357984,55.5,2198052
1996,aichi,7,0,"ICHIKAWA, TSUNEO",jiyu-rengo,10,0,0,1.1,56,7,5,2045,357984,55.5,8806268
1996,aichi,7,0,"OSHIMA, YOKO",kokuminto,22,0,0,0.6,65,7,6,1080,357984,55.5,.
1996,aichi,7,0,"EBATA, HIROMICHI",others,100,0,0,0.2,34,7,7,442,357984,55.5,.
1996,aichi,8,1,"KUNO, TOICHIRO",LDP,1,3,1,44.4,59,5,1,93053,377152,57.1,6368857
1996,aichi,8,0,"MORITA, YUSUKE",NFP,8,0,0,43,33,5,2,90099,377152,57.1,8644586
1996,aichi,8,0,"KAJIURA, ISAMU",JCP,2,0,0,11.1,48,5,3,23166,377152,57.1,2471701
1996,aichi,8,0,"YAMAZAKI, KAZUKOA",others,100,0,0,1.1,34,5,4,2259,377152,57.1,.
1996,aichi,8,0,"SHIMODA, KENICHI",independent,99,0,0,0.4,42,5,5,873,377152,57.1,.
1996,aichi,9,1,"KAIFU, TOSHIKI",NFP,8,13,1,47.7,65,7,1,111578,393953,60.6,19731389
1996,aichi,9,0,"YOSHIKAWA, HIROSHIC",LDP,1,0,0,24.8,73,7,2,58059,393953,60.6,4711892
1996,aichi,9,1,"SATO, KANJU",DPJ,3,9,0,18.1,54,7,3,42393,393953,60.6,7992963
1996,aichi,9,0,"HIBI, SHIZUO",JCP,2,0,0,8.7,63,7,4,20290,393953,60.6,2072270
1996,aichi,9,0,"YASUDA, REIKO",others,100,0,0,0.4,50,7,5,921,393953,60.6,.
1996,aichi,9,0,"OI, TADANORI",independent,99,0,0,0.2,48,7,6,422,393953,60.6,.
1996,aichi,9,0,"SHIRAI, SAKAE",kokuminto,22,0,0,0.1,59,7,7,338,393953,60.6,.
1996,aichi,10,1,"ESAKI, TETSUMA",NFP,8,1,1,46.4,53,7,1,110820,437148,56,18863794
1996,aichi,10,0,"MORI, HARUO",LDP,1,0,0,30.2,50,7,2,72178,437148,56,9513777
1996,aichi,10,0,"KISHINO, TOMOKO",JCP,2,0,0,12.2,46,7,3,29003,437148,56,2251163
1996,aichi,10,0,"NAGANAWA, SACHIKO",DPJ,3,0,0,8.6,48,7,4,20575,437148,56,5656242
1996,aichi,10,0,"SHIMIZU, SENYA",independent,99,0,0,2.1,26,7,5,5103,437148,56,4323761
1996,aichi,10,0,"TAKAHASHI, SHINSUKE",kokuminto,22,0,0,0.3,54,7,6,683,437148,56,.
1996,aichi,10,0,"ATOJI, TOYOJI",independent,99,0,0,0.1,46,7,7,284,437148,56,.
1996,aichi,11,1,"ITO, EISEI",NFP,8,5,1,55.5,54,3,1,123404,310462,73,14561501
1996,aichi,11,1,"URANO, YASUOKI",LDP,1,6,0,38.6,54,3,2,85766,310462,73,15945645
1996,aichi,11,0,"OMURA, YOSHINORI",JCP,2,0,0,6,40,3,3,13260,310462,73,1932893
1996,aichi,12,2,"SUGIURA, SEIKEN",LDP,1,3,1,55.2,62,3,1,133257,395441,63.6,15571849
1996,aichi,12,1,"KAWASHIMA, MINORU",NFP,8,2,0,33.1,60,3,2,79950,395441,63.6,5713734
1996,aichi,12,0,"YAMADA, MASUMI",JCP,2,0,0,11.7,36,3,3,28358,395441,63.6,2225778
1996,aichi,13,0,"SHIMA, SATOSHI",NFP,8,1,1,46.8,38,3,1,87991,330753,58.7,8689828
1996,aichi,13,0,"OMURA, HIDEAKI",LDP,1,1,2,42.9,36,3,2,80629,330753,58.7,9288155
1996,aichi,13,0,"TAKABAYASHI, MAKOTO",JCP,2,0,0,10.4,53,3,3,19484,330753,58.7,2056944
1996,aichi,14,2,"ASANO, KATSUHITO",LDP,1,2,1,49.8,58,4,1,72661,254598,59.2,11907557
1996,aichi,14,0,"YOSHITOMI, KAZUO",NFP,8,0,0,30.5,39,4,2,44421,254598,59.2,7535268
1996,aichi,14,0,"KURITANI, KENICHIRO",JCP,2,0,0,10,47,4,3,14646,254598,59.2,2292923
1996,aichi,14,0,"FUJIKAWA, CHIAKI",DPJ,3,0,0,9.7,55,4,4,14149,254598,59.2,10863379
1996,aichi,15,1,"MURATA, KEIJIRO",LDP,1,10,1,45.3,72,5,1,74963,315533,54.3,11227933
1996,aichi,15,0,"KIMATA, YOSHITAKE",NFP,8,0,0,39,31,5,2,64486,315533,54.3,9416599
1996,aichi,15,0,"TSUKADA, EIJI",JCP,2,0,0,13.8,41,5,3,22851,315533,54.3,2616378
1996,aichi,15,0,"MATSUMOTO, SHIGEKO",kokuminto,22,0,0,1.1,51,5,4,1796,315533,54.3,.
1996,aichi,15,0,"MATSUSHITA, MASATOSHI",others,100,0,0,0.8,51,5,5,1398,315533,54.3,.
1996,akita,1,2,"SATO, TAKAO",NFP,8,4,1,45.5,61,3,1,95194,341268,62.8,13183630
1996,akita,1,1,"FUTADA, KOJI",LDP,1,3,2,40.4,58,3,2,84625,341268,62.8,16790148
1996,akita,1,0,"OGIWARA, KAZUKO",JCP,2,0,0,14.1,55,3,3,29514,341268,62.8,3198173
1996,akita,2,1,"NOROTA, HOSEI",LDP,1,5,1,54.9,66,4,1,86677,236702,68.9,12138166
1996,akita,2,1,"HATAKEYAMA, KENJIRO",SDP,9,2,2,34.3,62,4,2,54131,236702,68.9,8046286
1996,akita,2,0,"KUDO, RYOICHI",JCP,2,0,0,7.1,69,4,3,11172,236702,68.9,3164336
1996,akita,2,0,"MIURA, TAKU",jiyu-rengo,10,0,0,3.7,60,4,4,5774,236702,68.9,3320111
1996,akita,3,1,"MURAOKA, KANEZO",LDP,1,8,1,57.9,65,3,1,150956,384319,70.3,12088420
1996,akita,3,0,"TERADA, HAJIME",NFP,8,0,0,32.7,25,3,2,85390,384319,70.3,11184940
1996,akita,3,0,"FUJII, TOSHIO",JCP,2,0,0,9.4,66,3,3,24405,384319,70.3,3557027
1996,aomori,1,1,"TSUSHIMA, YUJI",LDP,1,8,1,43.6,66,4,1,86411,348457,57.7,15597987
1996,aomori,1,0,"KUDO, RYUICHI",NFP,8,0,0,36.4,46,4,2,71999,348457,57.7,15443884
1996,aomori,1,1,"IMAMURA, OSAMI",SDP,9,1,0,12.2,54,4,3,24075,348457,57.7,11256707
1996,aomori,1,0,"TOGASHI, HIDEO",JCP,2,0,0,7.9,62,4,4,15548,348457,57.7,5829402
1996,aomori,2,0,"ETO, AKINORI",LDP,1,0,1,41.9,41,5,1,63672,240394,64.5,15793907
1996,aomori,2,0,"MIMURA, SHINGO",NFP,8,0,0,41.4,40,5,2,62907,240394,64.5,8247074
1996,aomori,2,0,"HERAI, TSUTOMU",DPJ,3,0,0,7.6,43,5,3,11581,240394,64.5,8032169
1996,aomori,2,0,"TATEBE, REIKO",SDP,9,0,0,5.7,55,5,4,8705,240394,64.5,6788998
1996,aomori,2,0,"SOMA, KAZUTAKA",JCP,2,0,0,3.4,65,5,5,5235,240394,64.5,2520732
1996,aomori,3,1,"OOSHIMA, TADAMORI",LDP,1,5,1,52.5,50,3,1,96628,259186,71.8,18218734
1996,aomori,3,1,"TANABU, MASAMI",NFP,8,6,0,44.2,61,3,2,81460,259186,71.8,16257935
1996,aomori,3,0,"MATSUHASHI, MITSUO",JCP,2,0,0,3.3,47,3,3,6119,259186,71.8,2579132
1996,aomori,4,0,"KIMURA, TARO",NFP,8,1,1,52.4,31,3,1,101059,317873,61.9,15398123
1996,aomori,4,0,"TSUSHIMA, KYOICHI",LDP,1,0,0,36.6,42,3,2,70590,317873,61.9,12128399
1996,aomori,4,0,"KIMURA, SHOSHIRO",JCP,2,0,0,10.9,69,3,3,21034,317873,61.9,5044841
1996,chiba,1,1,"USUI, HIDEO",LDP,1,6,1,42.7,57,6,1,77679,346048,54,10934553
1996,chiba,1,0,"MURAI, MINORU",NFP,8,0,0,22,53,6,2,40094,346048,54,9235812
1996,chiba,1,0,"KIDA, NAOKO",DPJ,3,0,0,17.2,46,6,3,31226,346048,54,7600470
1996,chiba,1,0,"NOMURA, YU",JCP,2,0,0,14.1,51,6,4,25612,346048,54,3957209
1996,chiba,1,0,"HANZAWA, KATSUO",NJSP,21,0,0,2.9,58,6,5,5206,346048,54,4176112
1996,chiba,1,0,"MURATA, HIDEYASU",jiyu-rengo,10,0,0,1.1,51,6,6,2059,346048,54,.
1996,chiba,2,2,"EGUCHI, KAZUO",LDP,1,2,1,37.1,59,5,1,75939,378384,55.7,11791111
1996,chiba,2,0,"NAKAMURA, KAZUHIRA",NFP,8,0,0,29.5,59,5,2,60401,378384,55.7,.
1996,chiba,2,0,"MORISHIMA, TAKEYASU",DPJ,3,0,0,16.7,28,5,3,34172,378384,55.7,6035690
1996,chiba,2,0,"AMAKI, SHIGEO",JCP,2,0,0,15.6,53,5,4,31862,378384,55.7,4130666
1996,chiba,2,0,"KAWAMOTO, TATSUYOSHI",jiyu-rengo,10,0,0,1.1,40,5,5,2320,378384,55.7,5738908
1996,chiba,3,1,"OKAJIMA, MASAYUKI",NFP,8,4,1,39.9,65,5,1,84846,392771,55.4,14184772
1996,chiba,3,0,"MATSUNO, HIROKAZU",LDP,1,0,0,34.5,34,5,2,73254,392771,55.4,.
1996,chiba,3,0,"CHIBA, MICHIKO",JCP,2,0,0,14.4,58,5,3,30691,392771,55.4,4801243
1996,chiba,3,0,"TAKEUCHI, KEIJI",DPJ,3,0,0,10.4,29,5,4,22068,392771,55.4,1678848
1996,chiba,3,0,"HIGASHI, MITSUMOTO",jiyu-rengo,10,0,0,0.8,43,5,5,1765,392771,55.4,.
1996,chiba,4,0,"TANAKA, SHOICHIA",LDP,1,1,1,32,59,4,1,73792,427907,55.1,14977664
1996,chiba,4,1,"NODA, YOSHIHIKO",NFP,8,1,0,31.9,39,4,2,73687,427907,55.1,7408046
1996,chiba,4,0,"KOJIMA, TAKAYUKI",DPJ,3,0,0,19.9,48,4,3,45924,427907,55.1,15358046
1996,chiba,4,0,"MARUYAMA, SHINICHI",JCP,2,0,0,16.2,40,4,4,37300,427907,55.1,5338484
1996,chiba,5,1,"TANAKA, KOC",DPJ,3,2,1,32.2,39,6,1,67032,408113,52.1,.
1996,chiba,5,1,"KANO, MASARU",LDP,1,2,0,30.3,61,6,2,62951,408113,52.1,.
1996,chiba,5,0,"NAKATSUGAWA, HIROSATO",NFP,8,0,0,21,47,6,3,43682,408113,52.1,11139353
1996,chiba,5,0,"OZAWA, TAKESHI",JCP,2,0,0,12.3,66,6,4,25586,408113,52.1,3802430
1996,chiba,5,0,"TOYODA, KATSUHIKO",NJSP,21,0,0,3.5,63,6,5,7319,408113,52.1,.
1996,chiba,5,0,"MOTOHASHI, CHIAKI",jiyu-rengo,10,0,0,0.6,39,6,6,1311,408113,52.1,1791937
1996,chiba,6,0,"WATANABE, HIROMICHI",LDP,1,1,1,39.2,46,4,1,60801,334376,50.8,.
1996,chiba,6,0,"UBUKATA, YUKIO",DPJ,3,1,2,35.7,48,4,2,55272,334376,50.8,7232832
1996,chiba,6,0,"NAKAJIMA, MAKOTO",JCP,2,0,0,20.4,47,4,3,31588,334376,50.8,5076814
1996,chiba,6,0,"ABE, SUMIKO",jiyu-rengo,10,0,0,4.7,55,4,4,7352,334376,50.8,.
1996,chiba,7,0,"MATSUMOTO, KAZUNA",LDP,1,1,1,36.4,57,5,1,71306,357646,56.3,.
1996,chiba,7,0,"MIYAMOTO, ETSURO",NFP,8,0,0,27.3,48,5,2,53484,357646,56.3,10456699
1996,chiba,7,0,"YUASA, KAZUKO",DPJ,3,0,0,21.4,54,5,3,41980,357646,56.3,7829140
1996,chiba,7,0,"WAKAOJI, HIROO",JCP,2,0,0,13.4,68,5,4,26242,357646,56.3,4810857
1996,chiba,7,0,"IMAIZUMI, SATORU",jiyu-rengo,10,0,0,1.5,42,5,5,2968,357646,56.3,.
1996,chiba,8,0,"SAKURADA, YOSHITAKA",LDP,1,1,1,34,46,5,1,69539,379673,55.6,13244509
1996,chiba,8,1,"NAGAHAMA, HIROYUKI",NFP,8,1,0,30.7,38,5,2,62740,379673,55.6,12181284
1996,chiba,8,0,"HAYAKAWA, YUKIHIKO",DPJ,3,0,0,19.6,55,5,3,40103,379673,55.6,5313398
1996,chiba,8,0,"KATO, HIDEOA",JCP,2,0,0,14.6,43,5,4,29884,379673,55.6,4881335
1996,chiba,8,0,"MATSUMOTO, HIDEYUKI",jiyu-rengo,10,0,0,1.1,53,5,5,2284,379673,55.6,1691023
1996,chiba,9,1,"JITSUKAWA, YUKIO",NFP,8,2,1,36.3,53,4,1,79539,397769,57,10143046
1996,chiba,9,0,"MIZUNO, KENICHI",LDP,1,0,0,34.5,30,4,2,75667,397769,57,6409315
1996,chiba,9,0,"TADA, YASUTAMI",DPJ,3,0,0,16.1,56,4,3,35211,397769,57,6119108
1996,chiba,9,0,"SEKI, KAZUO",JCP,2,0,0,13.2,64,4,4,28937,397769,57,3432770
1996,chiba,10,1,"HAYASHI, MOTOO",LDP,1,2,1,63.9,49,4,1,114010,358755,51.8,17089430
1996,chiba,10,1,"SUDO, HIROSHI",NFP,8,1,0,24.9,39,4,2,44408,358755,51.8,2914491
1996,chiba,10,0,"ICHIKAWA, HIROSHI",JCP,2,0,0,9.7,47,4,3,17234,358755,51.8,2800971
1996,chiba,10,0,"KAWAMURA, YASUYUKI",jiyu-rengo,10,0,0,1.6,49,4,4,2854,358755,51.8,2340395
1996,chiba,11,1,"MORI, EISUKE",LDP,1,3,1,61.6,48,4,1,116195,353940,55.8,.
1996,chiba,11,0,"HATSUTANI, KOICHI",NFP,8,0,0,24.3,41,4,2,45894,353940,55.8,.
1996,chiba,11,0,"IIMURA, MARIKO",JCP,2,0,0,11.6,51,4,3,21954,353940,55.8,3601657
1996,chiba,11,0,"HARA, NAOKO",jiyu-rengo,10,0,0,2.4,32,4,4,4600,353940,55.8,.
1996,chiba,12,1,"HAMADA, YASUKAZU",LDP,1,2,1,54,40,3,1,102570,379229,54.4,17389486
1996,chiba,12,0,"MORITA, KEI",DPJ,3,0,0,32.2,33,3,2,61083,379229,54.4,12094921
1996,chiba,12,0,"KAWAKAMI, KINICHI",JCP,2,0,0,13.8,66,3,3,26149,379229,54.4,4260420
1996,ehime,1,1,"SEKIYA, KATSUTSUGU",LDP,1,8,1,45.3,58,4,1,90305,356732,56.9,14881825
1996,ehime,1,1,"NAKAMURA, TOKIHIRO",NFP,8,1,0,43.1,36,4,2,85794,356732,56.9,6218824
1996,ehime,1,0,"SASAKI, IZUMI",JCP,2,0,0,8.8,46,4,3,17437,356732,56.9,3056573
1996,ehime,1,0,"NAKAJIMA, KIYONOBU",NJSP,21,0,0,2.8,52,4,4,5652,356732,56.9,3401567
1996,ehime,2,1,"MURAKAMI, SEIICHIRO",LDP,1,4,1,70.3,44,3,1,118966,297715,61.1,9488463
1996,ehime,2,0,"UMEZAKI, YUKIO",SDP,9,0,0,16,59,3,2,27060,297715,61.1,8698225
1996,ehime,2,0,"TANIDA, KEIKO",JCP,2,0,0,13.7,59,3,3,23143,297715,61.1,2607604
1996,ehime,3,1,"ONO, SHINYA",LDP,1,2,1,52.6,41,4,1,80415,269457,58.3,15925710
1996,ehime,3,2,"FUJITA, TAKATOSHI",SDP,9,8,0,25.2,73,4,2,38484,269457,58.3,11017958
1996,ehime,3,0,"HINO, KEISUKE",NFP,8,0,0,14.4,60,4,3,22038,269457,58.3,8143445
1996,ehime,3,0,"HIRAMOTO, TETSURO",JCP,2,0,0,7.8,53,4,4,11982,269457,58.3,2240250
1996,ehime,4,1,"YAMAMOTO, KOICHIB",LDP,1,2,1,61,49,3,1,113587,264704,72.1,17964826
1996,ehime,4,0,"TAKAHASHI, EIGO",NFP,8,0,0,32.9,56,3,2,61244,264704,72.1,6811570
1996,ehime,4,0,"IKEMOTO, KENICHI",JCP,2,0,0,6.1,49,3,3,11314,264704,72.1,2204650
1996,fukui,1,1,"SASAKI, RYUZO",NFP,8,2,1,34,39,5,1,48214,214374,67,21676618
1996,fukui,1,0,"MATSUMIYA, ISAO",independent,99,0,0,28.8,52,5,2,40840,214374,67,16678829
1996,fukui,1,1,"HIRAIZUMI, WATARU",LDP,1,6,0,22.8,66,5,3,32263,214374,67,18758159
1996,fukui,1,0,"FURUKAWA, TASABURO",DPJ,3,0,0,8.5,63,5,4,12022,214374,67,8114042
1996,fukui,1,0,"KANEMOTO, SACHIE",JCP,2,0,0,5.9,38,5,5,8369,214374,67,2963990
1996,fukui,2,2,"MAKINO, TAKAMORI",LDP,1,5,1,52.4,70,3,1,79222,211335,72.8,14027347
1996,fukui,2,1,"YAMAMOTO, TAKU",NFP,8,2,0,43,44,3,2,65024,211335,72.8,8969965
1996,fukui,2,0,"UNO, KUNIHIRO",JCP,2,0,0,4.7,44,3,3,7078,211335,72.8,3094721
1996,fukui,3,1,"TSUJI, KAZUHIKO",DPJ,3,5,1,36.8,71,4,1,52473,210464,69.4,6882297
1996,fukui,3,0,"TAKAGI, TSUYOSHI",LDP,1,0,0,34.2,40,4,2,48762,210464,69.4,13317457
1996,fukui,3,0,"MATSUDA, ATSUYUKI",NFP,8,0,0,22.7,58,4,3,32426,210464,69.4,12322167
1996,fukui,3,0,"YOSHIDA, KAZUO",JCP,2,0,0,6.3,71,4,4,8974,210464,69.4,3389623
1996,fukuoka,1,1,"MATSUMOTO, RYU",DPJ,3,3,1,46.7,45,4,1,74537,320338,51.7,21904621
1996,fukuoka,1,0,"NISHIDA, TOJI",LDP,1,0,0,35.5,45,4,2,56748,320338,51.7,8064930
1996,fukuoka,1,0,"OGA, SAWAKO",JCP,2,0,0,13.7,52,4,3,21839,320338,51.7,3872404
1996,fukuoka,1,0,"YAMAGUCHI, MINORU",others,100,0,0,4.1,47,4,4,6629,320338,51.7,1898969
1996,fukuoka,2,1,"YAMASAKI, TAKU",LDP,1,9,1,49.2,59,5,1,98095,377309,54.2,18517891
1996,fukuoka,2,1,"YAMASAKI, HIROTARO",NFP,8,1,0,36.7,55,5,2,73066,377309,54.2,14553435
1996,fukuoka,2,0,"NAGAO, MASAAKI",JCP,2,0,0,9.6,54,5,3,19151,377309,54.2,1609967
1996,fukuoka,2,0,"CHUGANJI, SUMITAKA",independent,99,0,0,3.1,36,5,4,6242,377309,54.2,4100830
1996,fukuoka,2,0,"OKACHI, MIDORI",jiyu-rengo,10,0,0,1.3,37,5,5,2663,377309,54.2,3024814
1996,fukuoka,3,1,"OTA, SEIICHI",LDP,1,6,1,49,50,4,1,88953,335092,56.2,14712725
1996,fukuoka,3,0,"NARAZAKI, KINYA",NFP,8,0,0,36.8,53,4,2,66788,335092,56.2,4729914
1996,fukuoka,3,0,"TAKADA, YUJI",JCP,2,0,0,11.8,32,4,3,21421,335092,56.2,2749017
1996,fukuoka,3,0,"YANO, TADASHI",jiyu-rengo,10,0,0,2.5,31,4,4,4560,335092,56.2,3845964
1996,fukuoka,4,0,"WATANABE, TOMOYOSHI",LDP,1,1,1,50.4,55,4,1,86765,282650,62.9,19983724
1996,fukuoka,4,1,"HIGASHI, JUNJI",NFP,8,2,0,36.1,50,4,2,62051,282650,62.9,10384650
1996,fukuoka,4,0,"YOSHIDA, TERUO",JCP,2,0,0,11.2,75,4,3,19211,282650,62.9,2644266
1996,fukuoka,4,0,"HATAE, TAKASHI",jiyu-rengo,10,0,0,2.3,47,4,4,3984,282650,62.9,2697284
1996,fukuoka,5,2,"HARADA, YOSHIAKI",LDP,1,2,1,43.2,52,4,1,85399,349044,58.5,16514512
1996,fukuoka,5,0,"KUSUDA, MIKITO",NFP,8,0,0,33.6,55,4,2,66353,349044,58.5,.
1996,fukuoka,5,0,"SATO, KOZO",jiyu-rengo,10,0,0,13.1,60,4,3,25810,349044,58.5,17144386
1996,fukuoka,5,0,"KIHARA, TAMIYA",JCP,2,0,0,10.1,70,4,4,19895,349044,58.5,2795095
1996,fukuoka,6,1,"KOGA, MASAHIRO",NFP,8,4,1,53.6,62,3,1,106262,350457,58.6,20922457
1996,fukuoka,6,0,"NESHIRO, KEN",LDP,1,0,0,36.2,55,3,2,71742,350457,58.6,18206652
1996,fukuoka,6,0,"MARUBAYASHI, HIDEHIKO",JCP,2,0,0,10.3,54,3,3,20368,350457,58.6,3040657
1996,fukuoka,7,1,"KOGA, MAKOTOA",LDP,1,6,1,42.2,56,4,1,90432,325447,67.1,17694207
1996,fukuoka,7,0,"SHIOTSUKA, KOICHI",NFP,8,0,0,32.4,46,4,2,69305,325447,67.1,8464320
1996,fukuoka,7,1,"HOSOYA, HARUMICHI",DPJ,3,2,0,18.2,57,4,3,38885,325447,67.1,10664982
1996,fukuoka,7,0,"KASAHARA, TADAO",JCP,2,0,0,7.2,70,4,4,15452,325447,67.1,2914804
1996,fukuoka,8,1,"ASO, TARO",LDP,1,5,1,50.5,56,3,1,114408,371803,63.1,7518455
1996,fukuoka,8,1,"IWATA, JUNSUKE",DPJ,3,3,2,35.7,59,3,2,80974,371803,63.1,11862326
1996,fukuoka,8,0,"HONDA, BUNKICHI",JCP,2,0,0,13.8,65,3,3,31206,371803,63.1,2998798
1996,fukuoka,9,1,"KITAHASHI, KENJI",NFP,8,3,1,42.6,43,3,1,91757,392170,56.1,13447929
1996,fukuoka,9,1,"MIHARA, ASAHIKO",sakigake,24,3,0,35.7,49,3,2,76974,392170,56.1,16580963
1996,fukuoka,9,2,"OZAWA, KAZUAKI",JCP,2,3,0,21.7,65,3,3,46656,392170,56.1,2885553
1996,fukuoka,10,1,"JIMI, SHOZABURO",LDP,1,5,1,43.9,50,4,1,95967,405912,55.3,14984231
1996,fukuoka,10,1,"HIROTOMO, KAZUO",NFP,8,1,0,37.4,52,4,2,81678,405912,55.3,22265391
1996,fukuoka,10,0,"KINOSHITA, NORIO",JCP,2,0,0,16.5,49,4,3,36118,405912,55.3,3022650
1996,fukuoka,10,0,"NAKASHIMA, HIDETAKA",jiyu-rengo,10,0,0,2.2,46,4,4,4826,405912,55.3,3333449
1996,fukuoka,11,1,"YAMAMOTO, KOZO",NFP,8,2,1,38.6,48,4,1,66798,273666,64.6,19068294
1996,fukuoka,11,1,"NAKANISHI, SEKISUKE",SDP,9,8,2,29.8,70,4,2,51569,273666,64.6,11616464
1996,fukuoka,11,0,"TAKEDA, RYOTA",LDP,1,0,0,24.3,28,4,3,42152,273666,64.6,14012505
