year,ku,kun,status,name,party,party_code,previous,wl,voteshare,age,nocand,rank,vote,eligible,turnout,exp,expm,vs,exppv,smd,party_jpn
1996,akita,2,現職,"HATAKEYAMA, KENJIRO",SDP,9,2,復活当選,34.3,62,4,2,54131,236702,68.9,8046286,8.046286,0.34299999999999997,33.99331649077743,落選,社民党
1996,akita,2,新人,"KUDO, RYOICHI",JCP,2,0,落選,7.1,69,4,3,11172,236702,68.9,3164336,3.164336,0.071,13.368437951517098,落選,共産党
1996,akita,2,新人,"MIURA, TAKU",jiyu-rengo,10,0,落選,3.7,60,4,4,5774,236702,68.9,3320111,3.320111,0.037000000000000005,14.026543924428184,落選,自由連合
1996,akita,3,現職,"MURAOKA, KANEZO",LDP,1,8,当選,57.9,65,3,1,150956,384319,70.3,12088420,12.08842,0.579,31.454130553004145,当選,自民党
1996,akita,3,新人,"TERADA, HAJIME",NFP,8,0,落選,32.7,25,3,2,85390,384319,70.3,11184940,11.18494,0.327,29.103270980617665,落選,新進党
1996,akita,3,新人,"FUJII, TOSHIO",JCP,2,0,落選,9.4,66,3,3,24405,384319,70.3,3557027,3.557027,0.094,9.255402413099535,落選,共産党
1996,aomori,1,現職,"TSUSHIMA, YUJI",LDP,1,8,当選,43.6,66,4,1,86411,348457,57.7,15597987,15.597987,0.436,44.763018105533824,当選,自民党
1996,aomori,1,新人,"KUDO, RYUICHI",NFP,8,0,落選,36.4,46,4,2,71999,348457,57.7,15443884,15.443884,0.364,44.32077415577819,落選,新進党
1996,aomori,1,現職,"IMAMURA, OSAMI",SDP,9,1,落選,12.2,54,4,3,24075,348457,57.7,11256707,11.256707,0.122,32.30443641539702,落選,社民党
1996,aomori,1,新人,"TOGASHI, HIDEO",JCP,2,0,落選,7.9,62,4,4,15548,348457,57.7,5829402,5.829402,0.079,16.729186097567275,落選,共産党
1996,aomori,2,新人,"ETO, AKINORI",LDP,1,0,当選,41.9,41,5,1,63672,240394,64.5,15793907,15.793907,0.419,65.70008818855712,当選,自民党
1996,aomori,2,新人,"MIMURA, SHINGO",NFP,8,0,落選,41.4,40,5,2,62907,240394,64.5,8247074,8.247074,0.414,34.30648851468839,落選,新進党
1996,aomori,2,新人,"HERAI, TSUTOMU",DPJ,3,0,落選,7.6,43,5,3,11581,240394,64.5,8032169,8.032169,0.076,33.41251861527326,落選,民主党
1996,aomori,2,新人,"TATEBE, REIKO",SDP,9,0,落選,5.7,55,5,4,8705,240394,64.5,6788998,6.788998,0.057,28.241129146318126,落選,社民党
1996,aomori,2,新人,"SOMA, KAZUTAKA",JCP,2,0,落選,3.4,65,5,5,5235,240394,64.5,2520732,2.520732,0.034,10.485835752972203,落選,共産党
1996,aomori,3,現職,"OOSHIMA, TADAMORI",LDP,1,5,当選,52.5,50,3,1,96628,259186,71.8,18218734,18.218734,0.525,70.29212225968995,当選,自民党
1996,aomori,3,現職,"TANABU, MASAMI",NFP,8,6,落選,44.2,61,3,2,81460,259186,71.8,16257935,16.257935,0.442,62.726902687645165,落選,新進党
1996,aomori,3,新人,"MATSUHASHI, MITSUO",JCP,2,0,落選,3.3,47,3,3,6119,259186,71.8,2579132,2.579132,0.033,9.950892409312232,落選,共産党
1996,aomori,4,新人,"KIMURA, TARO",NFP,8,1,当選,52.4,31,3,1,101059,317873,61.9,15398123,15.398123,0.524,48.4411164207089,当選,新進党
1996,aomori,4,新人,"TSUSHIMA, KYOICHI",LDP,1,0,落選,36.6,42,3,2,70590,317873,61.9,12128399,12.128399,0.366,38.15485744306689,落選,自民党
1996,aomori,4,新人,"KIMURA, SHOSHIRO",JCP,2,0,落選,10.9,69,3,3,21034,317873,61.9,5044841,5.044841,0.109,15.870618139948974,落選,共産党
1996,chiba,1,現職,"USUI, HIDEO",LDP,1,6,当選,42.7,57,6,1,77679,346048,54,10934553,10.934553,0.42700000000000005,31.598370746254854,当選,自民党
1996,chiba,1,新人,"MURAI, MINORU",NFP,8,0,落選,22,53,6,2,40094,346048,54,9235812,9.235812,0.22,26.68939569077122,落選,新進党
1996,chiba,1,新人,"KIDA, NAOKO",DPJ,3,0,落選,17.2,46,6,3,31226,346048,54,7600470,7.60047,0.172,21.963629323099685,落選,民主党
1996,chiba,1,新人,"NOMURA, YU",JCP,2,0,落選,14.1,51,6,4,25612,346048,54,3957209,3.957209,0.141,11.435433812650269,落選,共産党
1996,chiba,1,新人,"HANZAWA, KATSUO",NJSP,21,0,落選,2.9,58,6,5,5206,346048,54,4176112,4.176112,0.028999999999999998,12.068013685962642,落選,新社会党
1996,chiba,1,新人,"MURATA, HIDEYASU",jiyu-rengo,10,0,落選,1.1,51,6,6,2059,346048,54,NA,NA,0.011000000000000001,NA,落選,自由連合
1996,chiba,2,元職,"EGUCHI, KAZUO",LDP,1,2,当選,37.1,59,5,1,75939,378384,55.7,11791111,11.791111,0.371,31.161758953866972,当選,自民党
1996,chiba,2,新人,"NAKAMURA, KAZUHIRA",NFP,8,0,落選,29.5,59,5,2,60401,378384,55.7,NA,NA,0.295,NA,落選,新進党
1996,chiba,2,新人,"MORISHIMA, TAKEYASU",DPJ,3,0,落選,16.7,28,5,3,34172,378384,55.7,6035690,6.03569,0.16699999999999998,15.951229438876908,落選,民主党
1996,chiba,2,新人,"AMAKI, SHIGEO",JCP,2,0,落選,15.6,53,5,4,31862,378384,55.7,4130666,4.130666,0.156,10.916597953401835,落選,共産党
1996,chiba,2,新人,"KAWAMOTO, TATSUYOSHI",jiyu-rengo,10,0,落選,1.1,40,5,5,2320,378384,55.7,5738908,5.738908,0.011000000000000001,15.16688866336843,落選,自由連合
1996,chiba,3,現職,"OKAJIMA, MASAYUKI",NFP,8,4,当選,39.9,65,5,1,84846,392771,55.4,14184772,14.184772,0.39899999999999997,36.11461131295335,当選,新進党
1996,chiba,3,新人,"MATSUNO, HIROKAZU",LDP,1,0,落選,34.5,34,5,2,73254,392771,55.4,NA,NA,0.345,NA,落選,自民党
1996,chiba,3,新人,"CHIBA, MICHIKO",JCP,2,0,落選,14.4,58,5,3,30691,392771,55.4,4801243,4.801243,0.14400000000000002,12.22402621374796,落選,共産党
1996,chiba,3,新人,"TAKEUCHI, KEIJI",DPJ,3,0,落選,10.4,29,5,4,22068,392771,55.4,1678848,1.678848,0.10400000000000001,4.274368525171155,落選,民主党
1996,chiba,3,新人,"HIGASHI, MITSUMOTO",jiyu-rengo,10,0,落選,0.8,43,5,5,1765,392771,55.4,NA,NA,0.008,NA,落選,自由連合
1996,chiba,4,新人,"TANAKA, SHOICHIA",LDP,1,1,当選,32,59,4,1,73792,427907,55.1,14977664,14.977664,0.32,35.00214766292676,当選,自民党
1996,chiba,4,現職,"NODA, YOSHIHIKO",NFP,8,1,落選,31.9,39,4,2,73687,427907,55.1,7408046,7.408046,0.319,17.31228047215867,落選,新進党
1996,chiba,4,新人,"KOJIMA, TAKAYUKI",DPJ,3,0,落選,19.9,48,4,3,45924,427907,55.1,15358046,15.358046,0.19899999999999998,35.89108381026718,落選,民主党
1996,chiba,4,新人,"MARUYAMA, SHINICHI",JCP,2,0,落選,16.2,40,4,4,37300,427907,55.1,5338484,5.338484,0.162,12.475804321967157,落選,共産党
1996,chiba,5,現職,"TANAKA, KOC",DPJ,3,2,当選,32.2,39,6,1,67032,408113,52.1,NA,NA,0.322,NA,当選,民主党
1996,chiba,5,現職,"KANO, MASARU",LDP,1,2,落選,30.3,61,6,2,62951,408113,52.1,NA,NA,0.303,NA,落選,自民党
1996,chiba,5,新人,"NAKATSUGAWA, HIROSATO",NFP,8,0,落選,21,47,6,3,43682,408113,52.1,11139353,11.139353,0.21,27.29477620168924,落選,新進党
1996,chiba,5,新人,"OZAWA, TAKESHI",JCP,2,0,落選,12.3,66,6,4,25586,408113,52.1,3802430,3.80243,0.12300000000000001,9.317100900975955,落選,共産党
1996,chiba,5,新人,"TOYODA, KATSUHIKO",NJSP,21,0,落選,3.5,63,6,5,7319,408113,52.1,NA,NA,0.035,NA,落選,新社会党
1996,chiba,5,新人,"MOTOHASHI, CHIAKI",jiyu-rengo,10,0,落選,0.6,39,6,6,1311,408113,52.1,1791937,1.791937,0.006,4.390786375342123,落選,自由連合
1996,chiba,6,新人,"WATANABE, HIROMICHI",LDP,1,1,当選,39.2,46,4,1,60801,334376,50.8,NA,NA,0.392,NA,当選,自民党
1996,chiba,6,新人,"UBUKATA, YUKIO",DPJ,3,1,復活当選,35.7,48,4,2,55272,334376,50.8,7232832,7.232832,0.35700000000000004,21.630834748905425,落選,民主党
1996,chiba,6,新人,"NAKAJIMA, MAKOTO",JCP,2,0,落選,20.4,47,4,3,31588,334376,50.8,5076814,5.076814,0.204,15.182949733234443,落選,共産党
1996,chiba,6,新人,"ABE, SUMIKO",jiyu-rengo,10,0,落選,4.7,55,4,4,7352,334376,50.8,NA,NA,0.047,NA,落選,自由連合
1996,chiba,7,新人,"MATSUMOTO, KAZUNA",LDP,1,1,当選,36.4,57,5,1,71306,357646,56.3,NA,NA,0.364,NA,当選,自民党
1996,chiba,7,新人,"MIYAMOTO, ETSURO",NFP,8,0,落選,27.3,48,5,2,53484,357646,56.3,10456699,10.456699,0.273,29.237567315166395,落選,新進党
1996,chiba,7,新人,"YUASA, KAZUKO",DPJ,3,0,落選,21.4,54,5,3,41980,357646,56.3,7829140,7.82914,0.214,21.89075230814828,落選,民主党
1996,chiba,7,新人,"WAKAOJI, HIROO",JCP,2,0,落選,13.4,68,5,4,26242,357646,56.3,4810857,4.810857,0.134,13.451449198369337,落選,共産党
1996,chiba,7,新人,"IMAIZUMI, SATORU",jiyu-rengo,10,0,落選,1.5,42,5,5,2968,357646,56.3,NA,NA,0.015,NA,落選,自由連合
1996,chiba,8,新人,"SAKURADA, YOSHITAKA",LDP,1,1,当選,34,46,5,1,69539,379673,55.6,13244509,13.244509,0.34,34.88398964371973,当選,自民党
1996,chiba,8,現職,"NAGAHAMA, HIROYUKI",NFP,8,1,落選,30.7,38,5,2,62740,379673,55.6,12181284,12.181284,0.307,32.08361932505077,落選,新進党
1996,chiba,8,新人,"HAYAKAWA, YUKIHIKO",DPJ,3,0,落選,19.6,55,5,3,40103,379673,55.6,5313398,5.313398,0.196,13.99466909682806,落選,民主党
1996,chiba,8,新人,"KATO, HIDEOA",JCP,2,0,落選,14.6,43,5,4,29884,379673,55.6,4881335,4.881335,0.146,12.856681934190737,落選,共産党
1996,chiba,8,新人,"MATSUMOTO, HIDEYUKI",jiyu-rengo,10,0,落選,1.1,53,5,5,2284,379673,55.6,1691023,1.691023,0.011000000000000001,4.453893218638144,落選,自由連合
1996,chiba,9,現職,"JITSUKAWA, YUKIO",NFP,8,2,当選,36.3,53,4,1,79539,397769,57,10143046,10.143046,0.363,25.499840359605702,当選,新進党
1996,chiba,9,新人,"MIZUNO, KENICHI",LDP,1,0,落選,34.5,30,4,2,75667,397769,57,6409315,6.409315,0.345,16.113158642327583,落選,自民党
1996,chiba,9,新人,"TADA, YASUTAMI",DPJ,3,0,落選,16.1,56,4,3,35211,397769,57,6119108,6.119108,0.161,15.38357187211673,落選,民主党
1996,chiba,9,新人,"SEKI, KAZUO",JCP,2,0,落選,13.2,64,4,4,28937,397769,57,3432770,3.43277,0.132,8.63005915493666,落選,共産党
1996,chiba,10,現職,"HAYASHI, MOTOO",LDP,1,2,当選,63.9,49,4,1,114010,358755,51.8,17089430,17.08943,0.639,47.63537790414071,当選,自民党
1996,chiba,10,現職,"SUDO, HIROSHI",NFP,8,1,落選,24.9,39,4,2,44408,358755,51.8,2914491,2.914491,0.249,8.123903499602793,落選,新進党
1996,chiba,10,新人,"ICHIKAWA, HIROSHI",JCP,2,0,落選,9.7,47,4,3,17234,358755,51.8,2800971,2.800971,0.09699999999999999,7.807475853995066,落選,共産党
1996,chiba,10,新人,"KAWAMURA, YASUYUKI",jiyu-rengo,10,0,落選,1.6,49,4,4,2854,358755,51.8,2340395,2.340395,0.016,6.52365820685426,落選,自由連合
1996,chiba,11,現職,"MORI, EISUKE",LDP,1,3,当選,61.6,48,4,1,116195,353940,55.8,NA,NA,0.616,NA,当選,自民党
1996,chiba,11,新人,"HATSUTANI, KOICHI",NFP,8,0,落選,24.3,41,4,2,45894,353940,55.8,NA,NA,0.243,NA,落選,新進党
1996,chiba,11,新人,"IIMURA, MARIKO",JCP,2,0,落選,11.6,51,4,3,21954,353940,55.8,3601657,3.601657,0.11599999999999999,10.17589704469684,落選,共産党
1996,chiba,11,新人,"HARA, NAOKO",jiyu-rengo,10,0,落選,2.4,32,4,4,4600,353940,55.8,NA,NA,0.024,NA,落選,自由連合
