year,ku,kun,status,name,party,party_code,previous,wl,voteshare,age,nocand,rank,vote,eligible,turnout,exp,party
1996,aichi,9,1,"SATO, KANJU",,3,9,0,18.1,54,7,3,42393,393953,60.6,7992963,DPJ
1996,aichi,9,0,"HIBI, SHIZUO",,2,0,0,8.7,63,7,4,20290,393953,60.6,2072270,JCP
1996,aichi,9,0,"YASUDA, REIKO",,100,0,0,0.4,50,7,5,921,393953,60.6,.,others
1996,aichi,9,0,"OI, TADANORI",,99,0,0,0.2,48,7,6,422,393953,60.6,.,independent
1996,aichi,9,0,"SHIRAI, SAKAE",,22,0,0,0.1,59,7,7,338,393953,60.6,.,kokuminto
1996,aichi,10,1,"ESAKI, TETSUMA",,8,1,1,46.4,53,7,1,110820,437148,56.0,18863794,NFP
1996,aichi,10,0,"MORI, HARUO",,1,0,0,30.2,50,7,2,72178,437148,56.0,9513777,LDP
1996,aichi,10,0,"KISHINO, TOMOKO",,2,0,0,12.2,46,7,3,29003,437148,56.0,2251163,JCP
1996,aichi,10,0,"NAGANAWA, SACHIKO",,3,0,0,8.6,48,7,4,20575,437148,56.0,5656242,DPJ
1996,aichi,10,0,"SHIMIZU, SENYA",,99,0,0,2.1,26,7,5,5103,437148,56.0,4323761,independent
1996,aichi,10,0,"TAKAHASHI, SHINSUKE",,22,0,0,0.3,54,7,6,683,437148,56.0,.,kokuminto
1996,aichi,10,0,"ATOJI, TOYOJI",,99,0,0,0.1,46,7,7,284,437148,56.0,.,independent
1996,aichi,11,1,"ITO, EISEI",,8,5,1,55.5,54,3,1,123404,310462,73.0,14561501,NFP
1996,aichi,11,1,"URANO, YASUOKI",,1,6,0,38.6,54,3,2,85766,310462,73.0,15945645,LDP
1996,aichi,11,0,"OMURA, YOSHINORI",,2,0,0,6.0,40,3,3,13260,310462,73.0,1932893,JCP
1996,aichi,12,2,"SUGIURA, SEIKEN",,1,3,1,55.2,62,3,1,133257,395441,63.6,15571849,LDP
1996,aichi,12,1,"KAWASHIMA, MINORU",,8,2,0,33.1,60,3,2,79950,395441,63.6,5713734,NFP
1996,aichi,12,0,"YAMADA, MASUMI",,2,0,0,11.7,36,3,3,28358,395441,63.6,2225778,JCP
1996,aichi,13,0,"SHIMA, SATOSHI",,8,1,1,46.8,38,3,1,87991,330753,58.7,8689828,NFP
1996,aichi,13,0,"OMURA, HIDEAKI",,1,1,2,42.9,36,3,2,80629,330753,58.7,9288155,LDP
1996,aichi,13,0,"TAKABAYASHI, MAKOTO",,2,0,0,10.4,53,3,3,19484,330753,58.7,2056944,JCP
1996,aichi,14,2,"ASANO, KATSUHITO",,1,2,1,49.8,58,4,1,72661,254598,59.2,11907557,LDP
1996,aichi,14,0,"YOSHITOMI, KAZUO",,8,0,0,30.5,39,4,2,44421,254598,59.2,7535268,NFP
1996,aichi,14,0,"KURITANI, KENICHIRO",,2,0,0,10.0,47,4,3,14646,254598,59.2,2292923,JCP
1996,aichi,14,0,"FUJIKAWA, CHIAKI",,3,0,0,9.7,55,4,4,14149,254598,59.2,10863379,DPJ
1996,aichi,15,1,"MURATA, KEIJIRO",,1,10,1,45.3,72,5,1,74963,315533,54.3,11227933,LDP
1996,aichi,15,0,"KIMATA, YOSHITAKE",,8,0,0,39.0,31,5,2,64486,315533,54.3,9416599,NFP
1996,aichi,15,0,"TSUKADA, EIJI",,2,0,0,13.8,41,5,3,22851,315533,54.3,2616378,JCP
1996,aichi,15,0,"MATSUMOTO, SHIGEKO",,22,0,0,1.1,51,5,4,1796,315533,54.3,.,kokuminto
1996,aichi,15,0,"MATSUSHITA, MASATOSHI",,100,0,0,0.8,51,5,5,1398,315533,54.3,.,others
1996,akita,1,2,"SATO, TAKAO",,8,4,1,45.5,61,3,1,95194,341268,62.8,13183630,NFP
1996,akita,1,1,"FUTADA, KOJI",,1,3,2,40.4,58,3,2,84625,341268,62.8,16790148,LDP
1996,akita,1,0,"OGIWARA, KAZUKO",,2,0,0,14.1,55,3,3,29514,341268,62.8,3198173,JCP
1996,akita,2,1,"NOROTA, HOSEI",,1,5,1,54.9,66,4,1,86677,236702,68.9,12138166,LDP
1996,akita,2,1,"HATAKEYAMA, KENJIRO",,9,2,2,34.3,62,4,2,54131,236702,68.9,8046286,SDP
1996,akita,2,0,"KUDO, RYOICHI",,2,0,0,7.1,69,4,3,11172,236702,68.9,3164336,JCP
1996,akita,2,0,"MIURA, TAKU",,10,0,0,3.7,60,4,4,5774,236702,68.9,3320111,jiyu-rengo
1996,akita,3,1,"MURAOKA, KANEZO",,1,8,1,57.9,65,3,1,150956,384319,70.3,12088420,LDP
1996,akita,3,0,"TERADA, HAJIME",,8,0,0,32.7,25,3,2,85390,384319,70.3,11184940,NFP
1996,akita,3,0,"FUJII, TOSHIO",,2,0,0,9.4,66,3,3,24405,384319,70.3,3557027,JCP
1996,aomori,1,1,"TSUSHIMA, YUJI",,1,8,1,43.6,66,4,1,86411,348457,57.7,15597987,LDP
1996,aomori,1,0,"KUDO, RYUICHI",,8,0,0,36.4,46,4,2,71999,348457,57.7,15443884,NFP
1996,aomori,1,1,"IMAMURA, OSAMI",,9,1,0,12.2,54,4,3,24075,348457,57.7,11256707,SDP
1996,aomori,1,0,"TOGASHI, HIDEO",,2,0,0,7.9,62,4,4,15548,348457,57.7,5829402,JCP
1996,aomori,2,0,"ETO, AKINORI",,1,0,1,41.9,41,5,1,63672,240394,64.5,15793907,LDP
1996,aomori,2,0,"MIMURA, SHINGO",,8,0,0,41.4,40,5,2,62907,240394,64.5,8247074,NFP
1996,aomori,2,0,"HERAI, TSUTOMU",,3,0,0,7.6,43,5,3,11581,240394,64.5,8032169,DPJ
1996,aomori,2,0,"TATEBE, REIKO",,9,0,0,5.7,55,5,4,8705,240394,64.5,6788998,SDP
1996,aomori,2,0,"SOMA, KAZUTAKA",,2,0,0,3.4,65,5,5,5235,240394,64.5,2520732,JCP
1996,aomori,3,1,"OOSHIMA, TADAMORI",,1,5,1,52.5,50,3,1,96628,259186,71.8,18218734,LDP
1996,aomori,3,1,"TANABU, MASAMI",,8,6,0,44.2,61,3,2,81460,259186,71.8,16257935,NFP
1996,aomori,3,0,"MATSUHASHI, MITSUO",,2,0,0,3.3,47,3,3,6119,259186,71.8,2579132,JCP
1996,aomori,4,0,"KIMURA, TARO",,8,1,1,52.4,31,3,1,101059,317873,61.9,15398123,NFP
1996,aomori,4,0,"TSUSHIMA, KYOICHI",,1,0,0,36.6,42,3,2,70590,317873,61.9,12128399,LDP
1996,aomori,4,0,"KIMURA, SHOSHIRO",,2,0,0,10.9,69,3,3,21034,317873,61.9,5044841,JCP
1996,chiba,1,1,"USUI, HIDEO",,1,6,1,42.7,57,6,1,77679,346048,54.0,10934553,LDP
1996,chiba,1,0,"MURAI, MINORU",,8,0,0,22.0,53,6,2,40094,346048,54.0,9235812,NFP
1996,chiba,1,0,"KIDA, NAOKO",,3,0,0,17.2,46,6,3,31226,346048,54.0,7600470,DPJ
1996,chiba,1,0,"NOMURA, YU",,2,0,0,14.1,51,6,4,25612,346048,54.0,3957209,JCP
1996,chiba,1,0,"HANZAWA, KATSUO",,21,0,0,2.9,58,6,5,5206,346048,54.0,4176112,NJSP
1996,chiba,1,0,"MURATA, HIDEYASU",,10,0,0,1.1,51,6,6,2059,346048,54.0,.,jiyu-rengo
1996,chiba,2,2,"EGUCHI, KAZUO",,1,2,1,37.1,59,5,1,75939,378384,55.7,11791111,LDP
1996,chiba,2,0,"NAKAMURA, KAZUHIRA",,8,0,0,29.5,59,5,2,60401,378384,55.7,.,NFP
1996,chiba,2,0,"MORISHIMA, TAKEYASU",,3,0,0,16.7,28,5,3,34172,378384,55.7,6035690,DPJ
1996,chiba,2,0,"AMAKI, SHIGEO",,2,0,0,15.6,53,5,4,31862,378384,55.7,4130666,JCP
1996,chiba,2,0,"KAWAMOTO, TATSUYOSHI",,10,0,0,1.1,40,5,5,2320,378384,55.7,5738908,jiyu-rengo
1996,chiba,3,1,"OKAJIMA, MASAYUKI",,8,4,1,39.9,65,5,1,84846,392771,55.4,14184772,NFP
1996,chiba,3,0,"MATSUNO, HIROKAZU",,1,0,0,34.5,34,5,2,73254,392771,55.4,.,LDP
1996,chiba,3,0,"CHIBA, MICHIKO",,2,0,0,14.4,58,5,3,30691,392771,55.4,4801243,JCP
1996,chiba,3,0,"TAKEUCHI, KEIJI",,3,0,0,10.4,29,5,4,22068,392771,55.4,1678848,DPJ
1996,chiba,3,0,"HIGASHI, MITSUMOTO",,10,0,0,0.8,43,5,5,1765,392771,55.4,.,jiyu-rengo
1996,chiba,4,0,"TANAKA, SHOICHIA",,1,1,1,32.0,59,4,1,73792,427907,55.1,14977664,LDP
1996,chiba,4,1,"NODA, YOSHIHIKO",,8,1,0,31.9,39,4,2,73687,427907,55.1,7408046,NFP
1996,chiba,4,0,"KOJIMA, TAKAYUKI",,3,0,0,19.9,48,4,3,45924,427907,55.1,15358046,DPJ
1996,chiba,4,0,"MARUYAMA, SHINICHI",,2,0,0,16.2,40,4,4,37300,427907,55.1,5338484,JCP
1996,chiba,5,1,"TANAKA, KOC",,3,2,1,32.2,39,6,1,67032,408113,52.1,.,DPJ
1996,chiba,5,1,"KANO, MASARU",,1,2,0,30.3,61,6,2,62951,408113,52.1,.,LDP
1996,chiba,5,0,"NAKATSUGAWA, HIROSATO",,8,0,0,21.0,47,6,3,43682,408113,52.1,11139353,NFP
1996,chiba,5,0,"OZAWA, TAKESHI",,2,0,0,12.3,66,6,4,25586,408113,52.1,3802430,JCP
1996,chiba,5,0,"TOYODA, KATSUHIKO",,21,0,0,3.5,63,6,5,7319,408113,52.1,.,NJSP
1996,chiba,5,0,"MOTOHASHI, CHIAKI",,10,0,0,0.6,39,6,6,1311,408113,52.1,1791937,jiyu-rengo
1996,chiba,6,0,"WATANABE, HIROMICHI",,1,1,1,39.2,46,4,1,60801,334376,50.8,.,LDP
1996,chiba,6,0,"UBUKATA, YUKIO",,3,1,2,35.7,48,4,2,55272,334376,50.8,7232832,DPJ
1996,chiba,6,0,"NAKAJIMA, MAKOTO",,2,0,0,20.4,47,4,3,31588,334376,50.8,5076814,JCP
1996,chiba,6,0,"ABE, SUMIKO",,10,0,0,4.7,55,4,4,7352,334376,50.8,.,jiyu-rengo
1996,chiba,7,0,"MATSUMOTO, KAZUNA",,1,1,1,36.4,57,5,1,71306,357646,56.3,.,LDP
1996,chiba,7,0,"MIYAMOTO, ETSURO",,8,0,0,27.3,48,5,2,53484,357646,56.3,10456699,NFP
1996,chiba,7,0,"YUASA, KAZUKO",,3,0,0,21.4,54,5,3,41980,357646,56.3,7829140,DPJ
1996,chiba,7,0,"WAKAOJI, HIROO",,2,0,0,13.4,68,5,4,26242,357646,56.3,4810857,JCP
1996,chiba,7,0,"IMAIZUMI, SATORU",,10,0,0,1.5,42,5,5,2968,357646,56.3,.,jiyu-rengo
1996,chiba,8,0,"SAKURADA, YOSHITAKA",,1,1,1,34.0,46,5,1,69539,379673,55.6,13244509,LDP
1996,chiba,8,1,"NAGAHAMA, HIROYUKI",,8,1,0,30.7,38,5,2,62740,379673,55.6,12181284,NFP
1996,chiba,8,0,"HAYAKAWA, YUKIHIKO",,3,0,0,19.6,55,5,3,40103,379673,55.6,5313398,DPJ
1996,chiba,8,0,"KATO, HIDEOA",,2,0,0,14.6,43,5,4,29884,379673,55.6,4881335,JCP
1996,chiba,8,0,"MATSUMOTO, HIDEYUKI",,10,0,0,1.1,53,5,5,2284,379673,55.6,1691023,jiyu-rengo
1996,chiba,9,1,"JITSUKAWA, YUKIO",,8,2,1,36.3,53,4,1,79539,397769,57.0,10143046,NFP
1996,chiba,9,0,"MIZUNO, KENICHI",,1,0,0,34.5,30,4,2,75667,397769,57.0,6409315,LDP
1996,chiba,9,0,"TADA, YASUTAMI",,3,0,0,16.1,56,4,3,35211,397769,57.0,6119108,DPJ
1996,chiba,9,0,"SEKI, KAZUO",,2,0,0,13.2,64,4,4,28937,397769,57.0,3432770,JCP
1996,chiba,10,1,"HAYASHI, MOTOO",,1,2,1,63.9,49,4,1,114010,358755,51.8,17089430,LDP
1996,chiba,10,1,"SUDO, HIROSHI",,8,1,0,24.9,39,4,2,44408,358755,51.8,2914491,NFP
1996,chiba,10,0,"ICHIKAWA, HIROSHI",,2,0,0,9.7,47,4,3,17234,358755,51.8,2800971,JCP
1996,chiba,10,0,"KAWAMURA, YASUYUKI",,10,0,0,1.6,49,4,4,2854,358755,51.8,2340395,jiyu-rengo
1996,chiba,11,1,"MORI, EISUKE",,1,3,1,61.6,48,4,1,116195,353940,55.8,.,LDP
1996,chiba,11,0,"HATSUTANI, KOICHI",,8,0,0,24.3,41,4,2,45894,353940,55.8,.,NFP
1996,chiba,11,0,"IIMURA, MARIKO",,2,0,0,11.6,51,4,3,21954,353940,55.8,3601657,JCP
1996,chiba,11,0,"HARA, NAOKO",,10,0,0,2.4,32,4,4,4600,353940,55.8,.,jiyu-rengo
1996,chiba,12,1,"HAMADA, YASUKAZU",,1,2,1,54.0,40,3,1,102570,379229,54.4,17389486,LDP
1996,chiba,12,0,"MORITA, KEI",,3,0,0,32.2,33,3,2,61083,379229,54.4,12094921,DPJ
1996,chiba,12,0,"KAWAKAMI, KINICHI",,2,0,0,13.8,66,3,3,26149,379229,54.4,4260420,JCP
1996,ehime,1,1,"SEKIYA, KATSUTSUGU",,1,8,1,45.3,58,4,1,90305,356732,56.9,14881825,LDP
1996,ehime,1,1,"NAKAMURA, TOKIHIRO",,8,1,0,43.1,36,4,2,85794,356732,56.9,6218824,NFP
1996,ehime,1,0,"SASAKI, IZUMI",,2,0,0,8.8,46,4,3,17437,356732,56.9,3056573,JCP
1996,ehime,1,0,"NAKAJIMA, KIYONOBU",,21,0,0,2.8,52,4,4,5652,356732,56.9,3401567,NJSP
1996,ehime,2,1,"MURAKAMI, SEIICHIRO",,1,4,1,70.3,44,3,1,118966,297715,61.1,9488463,LDP
1996,ehime,2,0,"UMEZAKI, YUKIO",,9,0,0,16.0,59,3,2,27060,297715,61.1,8698225,SDP
1996,ehime,2,0,"TANIDA, KEIKO",,2,0,0,13.7,59,3,3,23143,297715,61.1,2607604,JCP
1996,ehime,3,1,"ONO, SHINYA",,1,2,1,52.6,41,4,1,80415,269457,58.3,15925710,LDP
1996,ehime,3,2,"FUJITA, TAKATOSHI",,9,8,0,25.2,73,4,2,38484,269457,58.3,11017958,SDP
1996,ehime,3,0,"HINO, KEISUKE",,8,0,0,14.4,60,4,3,22038,269457,58.3,8143445,NFP
1996,ehime,3,0,"HIRAMOTO, TETSURO",,2,0,0,7.8,53,4,4,11982,269457,58.3,2240250,JCP
1996,ehime,4,1,"YAMAMOTO, KOICHIB",,1,2,1,61.0,49,3,1,113587,264704,72.1,17964826,LDP
1996,ehime,4,0,"TAKAHASHI, EIGO",,8,0,0,32.9,56,3,2,61244,264704,72.1,6811570,NFP
1996,ehime,4,0,"IKEMOTO, KENICHI",,2,0,0,6.1,49,3,3,11314,264704,72.1,2204650,JCP
1996,fukui,1,1,"SASAKI, RYUZO",,8,2,1,34.0,39,5,1,48214,214374,67.0,21676618,NFP
1996,fukui,1,0,"MATSUMIYA, ISAO",,99,0,0,28.8,52,5,2,40840,214374,67.0,16678829,independent
1996,fukui,1,1,"HIRAIZUMI, WATARU",,1,6,0,22.8,66,5,3,32263,214374,67.0,18758159,LDP
1996,fukui,1,0,"FURUKAWA, TASABURO",,3,0,0,8.5,63,5,4,12022,214374,67.0,8114042,DPJ
1996,fukui,1,0,"KANEMOTO, SACHIE",,2,0,0,5.9,38,5,5,8369,214374,67.0,2963990,JCP
1996,fukui,2,2,"MAKINO, TAKAMORI",,1,5,1,52.4,70,3,1,79222,211335,72.8,14027347,LDP
1996,fukui,2,1,"YAMAMOTO, TAKU",,8,2,0,43.0,44,3,2,65024,211335,72.8,8969965,NFP
1996,fukui,2,0,"UNO, KUNIHIRO",,2,0,0,4.7,44,3,3,7078,211335,72.8,3094721,JCP
1996,fukui,3,1,"TSUJI, KAZUHIKO",,3,5,1,36.8,71,4,1,52473,210464,69.4,6882297,DPJ
1996,fukui,3,0,"TAKAGI, TSUYOSHI",,1,0,0,34.2,40,4,2,48762,210464,69.4,13317457,LDP
1996,fukui,3,0,"MATSUDA, ATSUYUKI",,8,0,0,22.7,58,4,3,32426,210464,69.4,12322167,NFP
1996,fukui,3,0,"YOSHIDA, KAZUO",,2,0,0,6.3,71,4,4,8974,210464,69.4,3389623,JCP
1996,fukuoka,1,1,"MATSUMOTO, RYU",,3,3,1,46.7,45,4,1,74537,320338,51.7,21904621,DPJ
1996,fukuoka,1,0,"NISHIDA, TOJI",,1,0,0,35.5,45,4,2,56748,320338,51.7,8064930,LDP
1996,fukuoka,1,0,"OGA, SAWAKO",,2,0,0,13.7,52,4,3,21839,320338,51.7,3872404,JCP
1996,fukuoka,1,0,"YAMAGUCHI, MINORU",,100,0,0,4.1,47,4,4,6629,320338,51.7,1898969,others
1996,fukuoka,2,1,"YAMASAKI, TAKU",,1,9,1,49.2,59,5,1,98095,377309,54.2,18517891,LDP
1996,fukuoka,2,1,"YAMASAKI, HIROTARO",,8,1,0,36.7,55,5,2,73066,377309,54.2,14553435,NFP
1996,fukuoka,2,0,"NAGAO, MASAAKI",,2,0,0,9.6,54,5,3,19151,377309,54.2,1609967,JCP
1996,fukuoka,2,0,"CHUGANJI, SUMITAKA",,99,0,0,3.1,36,5,4,6242,377309,54.2,4100830,independent
1996,fukuoka,2,0,"OKACHI, MIDORI",,10,0,0,1.3,37,5,5,2663,377309,54.2,3024814,jiyu-rengo
1996,fukuoka,3,1,"OTA, SEIICHI",,1,6,1,49.0,50,4,1,88953,335092,56.2,14712725,LDP
1996,fukuoka,3,0,"NARAZAKI, KINYA",,8,0,0,36.8,53,4,2,66788,335092,56.2,4729914,NFP
1996,fukuoka,3,0,"TAKADA, YUJI",,2,0,0,11.8,32,4,3,21421,335092,56.2,2749017,JCP
1996,fukuoka,3,0,"YANO, TADASHI",,10,0,0,2.5,31,4,4,4560,335092,56.2,3845964,jiyu-rengo
1996,fukuoka,4,0,"WATANABE, TOMOYOSHI",,1,1,1,50.4,55,4,1,86765,282650,62.9,19983724,LDP
1996,fukuoka,4,1,"HIGASHI, JUNJI",,8,2,0,36.1,50,4,2,62051,282650,62.9,10384650,NFP
1996,fukuoka,4,0,"YOSHIDA, TERUO",,2,0,0,11.2,75,4,3,19211,282650,62.9,2644266,JCP
1996,fukuoka,4,0,"HATAE, TAKASHI",,10,0,0,2.3,47,4,4,3984,282650,62.9,2697284,jiyu-rengo
1996,fukuoka,5,2,"HARADA, YOSHIAKI",,1,2,1,43.2,52,4,1,85399,349044,58.5,16514512,LDP
1996,fukuoka,5,0,"KUSUDA, MIKITO",,8,0,0,33.6,55,4,2,66353,349044,58.5,.,NFP
1996,fukuoka,5,0,"SATO, KOZO",,10,0,0,13.1,60,4,3,25810,349044,58.5,17144386,jiyu-rengo
1996,fukuoka,5,0,"KIHARA, TAMIYA",,2,0,0,10.1,70,4,4,19895,349044,58.5,2795095,JCP
1996,fukuoka,6,1,"KOGA, MASAHIRO",,8,4,1,53.6,62,3,1,106262,350457,58.6,20922457,NFP
1996,fukuoka,6,0,"NESHIRO, KEN",,1,0,0,36.2,55,3,2,71742,350457,58.6,18206652,LDP
1996,fukuoka,6,0,"MARUBAYASHI, HIDEHIKO",,2,0,0,10.3,54,3,3,20368,350457,58.6,3040657,JCP
1996,fukuoka,7,1,"KOGA, MAKOTOA",,1,6,1,42.2,56,4,1,90432,325447,67.1,17694207,LDP
1996,fukuoka,7,0,"SHIOTSUKA, KOICHI",,8,0,0,32.4,46,4,2,69305,325447,67.1,8464320,NFP
1996,fukuoka,7,1,"HOSOYA, HARUMICHI",,3,2,0,18.2,57,4,3,38885,325447,67.1,10664982,DPJ
1996,fukuoka,7,0,"KASAHARA, TADAO",,2,0,0,7.2,70,4,4,15452,325447,67.1,2914804,JCP
1996,fukuoka,8,1,"ASO, TARO",,1,5,1,50.5,56,3,1,114408,371803,63.1,7518455,LDP
1996,fukuoka,8,1,"IWATA, JUNSUKE",,3,3,2,35.7,59,3,2,80974,371803,63.1,11862326,DPJ
1996,fukuoka,8,0,"HONDA, BUNKICHI",,2,0,0,13.8,65,3,3,31206,371803,63.1,2998798,JCP
1996,fukuoka,9,1,"KITAHASHI, KENJI",,8,3,1,42.6,43,3,1,91757,392170,56.1,13447929,NFP
1996,fukuoka,9,1,"MIHARA, ASAHIKO",,24,3,0,35.7,49,3,2,76974,392170,56.1,16580963,sakigake
1996,fukuoka,9,2,"OZAWA, KAZUAKI",,2,3,0,21.7,65,3,3,46656,392170,56.1,2885553,JCP
1996,fukuoka,10,1,"JIMI, SHOZABURO",,1,5,1,43.9,50,4,1,95967,405912,55.3,14984231,LDP
1996,fukuoka,10,1,"HIROTOMO, KAZUO",,8,1,0,37.4,52,4,2,81678,405912,55.3,22265391,NFP
